,0,1,2,3,4,5,6,7,8,9,10
0,111,121,95,88,156,182,45,104,234,31,208.0
1,17,140,147,41,54,149,3,64,157,229,150.0
2,38,19,236,132,211,206,68,97,128,4,197.0
3,23,130,33,85,239,152,82,169,139,144,
4,168,233,187,232,230,72,94,77,196,202,
5,242,136,193,16,194,79,36,8,34,26,
6,110,112,30,25,28,122,146,192,63,244,
7,172,60,241,237,227,15,107,225,219,165,
8,101,47,235,21,133,126,42,67,93,134,
9,179,32,160,184,145,48,163,180,69,214,
10,185,186,217,189,177,190,223,138,204,80,
11,199,73,153,116,27,37,123,20,210,141,
12,91,102,117,13,200,191,188,53,62,11,
13,120,245,224,61,90,159,5,84,171,201,
14,100,207,12,240,40,164,92,222,174,103,
15,226,127,6,7,22,135,195,86,29,124,
16,178,181,44,9,105,215,221,46,198,176,
17,166,155,76,212,131,71,57,35,99,96,
18,161,137,243,39,51,18,209,158,216,56,
19,52,49,183,175,59,220,148,74,142,170,
20,119,65,87,70,213,43,114,162,66,125,
21,24,55,89,98,238,50,205,106,129,108,
22,81,143,173,218,14,228,115,83,167,151,
23,113,10,58,154,231,75,109,203,78,118,
